id;comments
32;This is why Chicago sucks.
32;Boooooo pride sucks just like you.  Boooooo
33;4th is my personal fav
33;pleading_face
33;
33;Beautiful onlyyyyy>>>
33;loudly_crying_face red_heart
33;@tarini_shah
33;Jeans from ? @tarini_shah
33;aesthetic  hand_with_index_finger_and_thumb_crossed
33;medium-light_skin_tone
33;
33;
33;face_blowing_a_kiss yellow_heart
33;
33;
33;fire fire fire
33;
33;
33;red_heart red_heart red_heart
33;
33;
33;fire
33;
33;You forgot to tie your laces Madame
33;
33;red_heart red_heart red_heart
33;
34;Watched more than
34;infinity
34;
34;Moti sali
34;
34;love-you_gesture sign_of_the_horns
34;
34;
34;red_heart
34;
34;
34;red_heart red_heart red_heart red_heart red_heart
34;
34;areh ye toh pookie hai
34;face_savoring_food disappointed_face ribbon
34;
35;cutieeee
35;smiling_face_with_heart-eyes
35;
35;Top?
35;@dhruvnessss moti
35;pig pig_face
35;
35;
35;fire fire smiling_face_with_heart-eyes
35;
35;Konsa filter hai
35;Mujhe pyaar hojaega. Hojaega kya hogya.
35;I wish I could smell your armpits
35;Sunshine girl
35;heart_with_ribbon
35;
35;Love that glow!
35;Top from?
36;Cuteness
36;
36;red_heart
36;wow
36;y so seriouss vroo
36;grinning_face_with_sweat sparkles
36;
36;Very cute
36;thumbs_down thumbs_down thumbs_down thumbs_down
36;
36;YOURE SO PRETTY
36;EXCUSE ME??!
36;Wow
36;Thoda muskura bhi diya karo
36;fire
36;
36;I thought this was Brent Rivera for a second
37;
37;red_heart smiling_face_with_heart-eyes
37;@ishaanvohraa
37;Who tf is pee?
37;Wtf you so pretty (not in simp way)
37;Why is this guy so pretty
37;@just_kiro lmao from a show - euphoria
38;
38;face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
38;
38;Last pic mein to chair bina chair person hai
38;face_with_tears_of_joy
38;
38;@ishaaarth we do 4th photu
38;What's Tonight?
38;@_.dhruty8802._ simp wtf
38;@lol_sidd_ dont be jealous baba
39;2nd pic
39;face_with_tears_of_joy
39;girls expression says it all
39;You resemble @ishaankhatter stronglyyy
39;
39;red_heart
39;
39;Check DM for an urgent collab
39;OIII REELS BANANA YARRR PLS
39;smiling_face_with_hearts
39;
39;Is this madness.. CrAzy.. Called GENZ?
39;ishaan falls in love with himself and fights with himself for himself #plot
39;student of the year 3 is releasing and the 1st pic is the poster
39;weary_face
39;#solo
39;
39;smiling_face_with_hearts smiling_face_with_hearts
39;
39;im on Ishaan Vohras main omg
39;face_screaming_in_fear
39;
40;Is that Dagshai?
40;Cute
